timestamp_utc,timestamp_local,symbol,signal,regime,price,reason,extras_json
2026-03-24T16:53:00+00:00,2026-03-24 12:53:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,655.38,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 655.5664, ""range_width_pct"": 0.004}"
2026-03-24T17:11:00+00:00,2026-03-24 13:11:00 EDT,SPY,TREND_SHORT,TREND_DOWN,653.12,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 654.0578, ""stop_price"": 655.9143, ""target_price"": 648.9285, ""volume_ratio"": 2.31}"
2026-03-24T17:15:00+00:00,2026-03-24 13:15:00 EDT,SPY,EXIT_SHORT,NO_TRADE,652.99,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-24T18:00:00+00:00,2026-03-24 14:00:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.56,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 653.8488, ""range_width_pct"": 0.004}"
2026-03-24T18:10:00+00:00,2026-03-24 14:10:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,653.69,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 653.7743, ""range_width_pct"": 0.004}"
2026-03-24T18:20:00+00:00,2026-03-24 14:20:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.03,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 653.6302, ""range_width_pct"": 0.004}"
2026-03-24T19:23:00+00:00,2026-03-24 15:23:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.96,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 654.7346, ""range_width_pct"": 0.0042}"
2026-03-24T19:33:00+00:00,2026-03-24 15:33:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.37,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 654.7908, ""range_width_pct"": 0.004}"
2026-03-24T19:50:00+00:00,2026-03-24 15:50:00 EDT,SPY,TREND_SHORT,TREND_DOWN,653.32,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 653.8659, ""stop_price"": 654.8935, ""target_price"": 650.9598, ""volume_ratio"": 1.527}"
2026-03-24T19:58:00+00:00,2026-03-24 15:58:00 EDT,SPY,EXIT_SHORT,NO_TRADE,652.79,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-25T15:29:00+00:00,2026-03-25 11:29:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.84,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.7413, ""range_width_pct"": 0.0076}"
2026-03-25T15:50:00+00:00,2026-03-25 11:50:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.95,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.6843, ""range_width_pct"": 0.0076}"
2026-03-25T16:00:00+00:00,2026-03-25 12:00:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.83,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.5023, ""range_width_pct"": 0.0073}"
2026-03-25T16:12:00+00:00,2026-03-25 12:12:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.46,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.2359, ""range_width_pct"": 0.0061}"
2026-03-25T16:22:00+00:00,2026-03-25 12:22:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.61,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 656.9948, ""range_width_pct"": 0.0034}"
2026-03-25T16:48:00+00:00,2026-03-25 12:48:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.54,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.1051, ""range_width_pct"": 0.0035}"
2026-03-25T16:58:00+00:00,2026-03-25 12:58:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.67,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.1874, ""range_width_pct"": 0.0035}"
2026-03-25T17:08:00+00:00,2026-03-25 13:08:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.25,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.1767, ""range_width_pct"": 0.0033}"
2026-03-25T17:18:00+00:00,2026-03-25 13:18:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.04,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.259, ""range_width_pct"": 0.0033}"
2026-03-25T17:29:00+00:00,2026-03-25 13:29:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,658.02,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.3632, ""range_width_pct"": 0.0021}"
2026-03-25T17:52:00+00:00,2026-03-25 13:52:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.78,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.8378, ""range_width_pct"": 0.0038}"
2026-03-25T18:02:00+00:00,2026-03-25 14:02:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.82,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.8633, ""range_width_pct"": 0.0038}"
2026-03-25T18:12:00+00:00,2026-03-25 14:12:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.95,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.8506, ""range_width_pct"": 0.0037}"
2026-03-25T18:22:00+00:00,2026-03-25 14:22:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,658.11,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.9082, ""range_width_pct"": 0.0031}"
2026-03-25T18:32:00+00:00,2026-03-25 14:32:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.68,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.8932, ""range_width_pct"": 0.0031}"
2026-03-25T18:42:00+00:00,2026-03-25 14:42:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.14,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.9076, ""range_width_pct"": 0.0026}"
2026-03-25T18:52:00+00:00,2026-03-25 14:52:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.21,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.885, ""range_width_pct"": 0.0028}"
2026-03-25T19:24:00+00:00,2026-03-25 15:24:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.98,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.2384, ""range_width_pct"": 0.0035}"
2026-03-25T19:50:00+00:00,2026-03-25 15:50:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.81,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 656.7732, ""range_width_pct"": 0.0027}"
2026-03-26T14:44:00+00:00,2026-03-26 10:44:00 EDT,SPY,TREND_SHORT,TREND_DOWN,652.66,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 653.6191, ""stop_price"": 655.3739, ""target_price"": 648.5892, ""volume_ratio"": 1.369}"
2026-03-26T14:55:00+00:00,2026-03-26 10:55:00 EDT,SPY,EXIT_SHORT,NO_TRADE,651.62,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-26T16:17:00+00:00,2026-03-26 12:17:00 EDT,SPY,TREND_SHORT,TREND_DOWN,650.23,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 651.1013, ""stop_price"": 652.2114, ""target_price"": 647.258, ""volume_ratio"": 1.653}"
2026-03-26T16:18:00+00:00,2026-03-26 12:18:00 EDT,SPY,EXIT_SHORT,NO_TRADE,650.8,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-26T16:29:00+00:00,2026-03-26 12:29:00 EDT,SPY,TREND_SHORT,TREND_DOWN,649.47,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 650.3152, ""stop_price"": 651.9612, ""target_price"": 645.7333, ""volume_ratio"": 1.118}"
2026-03-26T16:34:00+00:00,2026-03-26 12:34:00 EDT,SPY,EXIT_SHORT,NO_TRADE,649.39,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-26T17:47:00+00:00,2026-03-26 13:47:00 EDT,SPY,TREND_SHORT,TREND_DOWN,647.89,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 648.3552, ""stop_price"": 649.5792, ""target_price"": 645.3561, ""volume_ratio"": 1.666}"
2026-03-26T18:00:00+00:00,2026-03-26 14:00:00 EDT,SPY,EXIT_SHORT,NO_TRADE,647.04,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-26T19:00:00+00:00,2026-03-26 15:00:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,647.31,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 647.3403, ""range_width_pct"": 0.0018}"
2026-03-26T19:11:00+00:00,2026-03-26 15:11:00 EDT,SPY,TREND_SHORT,TREND_DOWN,646.04,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 646.7331, ""stop_price"": 648.0981, ""target_price"": 642.9529, ""volume_ratio"": 1.15}"
2026-03-26T19:15:00+00:00,2026-03-26 15:15:00 EDT,SPY,EXIT_SHORT,NO_TRADE,646.53,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-26T19:26:00+00:00,2026-03-26 15:26:00 EDT,SPY,TREND_SHORT,TREND_DOWN,645.98,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 646.3756, ""stop_price"": 647.2274, ""target_price"": 644.0421, ""volume_ratio"": 1.175}"
2026-03-26T19:35:00+00:00,2026-03-26 15:35:00 EDT,SPY,EXIT_SHORT,NO_TRADE,646.02,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-26T19:46:00+00:00,2026-03-26 15:46:00 EDT,SPY,TREND_SHORT,TREND_DOWN,645.5,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 645.8173, ""stop_price"": 646.787, ""target_price"": 643.5635, ""volume_ratio"": 1.252}"
2026-03-26T19:51:00+00:00,2026-03-26 15:51:00 EDT,SPY,EXIT_SHORT,NO_TRADE,645.47,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-20T16:40:00+00:00,2026-03-20 12:40:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,652.46,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 652.7846, ""range_width_pct"": 0.0031}"
