timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,primary_return_pct
2025-04-02T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.97,5605.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5565.0,5605.0,5645.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-02T14:10:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5613.23,5610.0,2.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5570.0,5610.0,5650.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-02T14:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5623.31,5605.0,,Corridor drift started.,,,,,,,,,,,,,18.31,,,,,,,,
2025-04-02T14:50:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5634.56,5610.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,24.56,8.0,,,,,,,
2025-04-02T14:55:00+00:00,SPX,REBUILT,REBUILD,5642.7,5605.0,1.0,Removed prior layers for rebuild.,PRIMARY,5565.0,5605.0,5645.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,10.0304,11.8864,-0.6156,1.3264,0.086,conservative,
2025-04-02T14:55:00+00:00,SPX,REBUILT,REBUILD,5642.7,5610.0,2.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5570.0,5610.0,5650.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,10.2649,12.1623,-0.3811,1.6023,0.086,conservative,
2025-04-02T14:55:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5642.7,5615.0,3.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5575.0,5615.0,5655.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-02T15:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5641.01,5615.0,,Corridor drift started.,,,,,,,,,,,,,26.01,,,,,,,,
2025-04-02T15:25:00+00:00,SPX,STOP_LOSS,DRIFTING,5655.2,5615.0,3.0,Primary stop-loss reached.,PRIMARY,5575.0,5615.0,5655.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,0.1347,0.2445,-10.5113,-10.3155,0.086,conservative,-0.9873
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5390.0,5430.0,5470.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-15T15:35:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5421.24,5425.0,5.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5385.0,5425.0,5465.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-15T16:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5412.98,5425.0,,Corridor drift started.,,,,,,,,,,,,,12.02,,,,,,,,
2025-04-15T17:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5395.76,5420.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,24.24,8.0,,,,,,,
2025-04-15T17:30:00+00:00,SPX,REBUILT,REBUILD,5398.6,5430.0,4.0,Removed prior layers for rebuild.,PRIMARY,5390.0,5430.0,5470.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,10.356,12.2695,-0.29,1.7095,0.086,conservative,
2025-04-15T17:30:00+00:00,SPX,REBUILT,REBUILD,5398.6,5425.0,5.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5385.0,5425.0,5465.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,10.5949,12.5506,-0.0511,1.9906,0.086,conservative,
2025-04-15T17:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5398.6,5420.0,6.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5380.0,5420.0,5460.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-15T17:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5404.57,5420.0,,Corridor drift started.,,,,,,,,,,,,,15.43,,,,,,,,
2025-04-15T18:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5404.27,5410.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-15T18:45:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5402.03,5405.0,7.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5365.0,5405.0,5445.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-15T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5398.18,5420.0,6.0,Session window closed.,PRIMARY,5380.0,5420.0,5460.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,10.8209,12.8164,0.1749,2.2564,0.086,conservative,
2025-04-15T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5398.18,5405.0,7.0,Session window closed.,SUPPLEMENTAL,5365.0,5405.0,5445.0,40.0,7.0,10.646,10.56,,0.086,1.0,100.0,,,11.4904,13.6041,0.8444,3.0441,0.086,conservative,
2025-04-25T14:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5471.12,5475.0,8.0,Opened the primary butterfly corridor layer.,PRIMARY,5435.0,5475.0,5515.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-25T14:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5463.9,5475.0,,Corridor drift started.,,,,,,,,,,,,,11.1,,,,,,,,
2025-04-25T14:30:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5468.91,5475.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-25T14:40:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5484.95,5480.0,9.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5440.0,5480.0,5520.0,40.0,7.0,10.646,10.56,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-25T15:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5490.03,5480.0,,Corridor drift started.,,,,,,,,,,,,,10.03,,,,,,,,
2025-04-25T15:15:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5486.41,5480.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-25T15:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5491.32,5480.0,,Corridor drift started.,,,,,,,,,,,,,11.32,,,,,,,,
2025-04-25T15:25:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5482.45,5480.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
