timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_count
2025-03-31T17:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5561.02,5555.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5555.0,5585.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-03-31T18:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5566.62,5555.0,,Corridor drift started.,,,,,,,,,,,,,11.62,,,,,,,,
2025-03-31T18:15:00+00:00,SPX,STOP_LOSS,DRIFTING,5588.88,5555.0,1.0,Primary stop-loss reached.,PRIMARY,5525.0,5555.0,5585.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-0.9995,0.0037,0.0903,-8.0023,-7.8297,0.086,conservative,
2025-04-02T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.97,5605.0,2.0,Opened the primary butterfly corridor layer.,PRIMARY,5575.0,5605.0,5635.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-02T14:10:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5613.23,5610.0,3.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5580.0,5610.0,5640.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-02T14:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5623.31,5605.0,,Corridor drift started.,,,,,,,,,,,,,18.31,,,,,,,,
2025-04-02T14:50:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5634.56,5610.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,24.56,,,,,,,,8.0
2025-04-02T14:55:00+00:00,SPX,STOP_LOSS,REBUILD,5642.7,5605.0,2.0,Primary stop-loss reached.,PRIMARY,5575.0,5605.0,5635.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-1.0,0.0,0.0,-8.006,-7.92,0.086,conservative,
2025-04-02T14:55:00+00:00,SPX,STOP_LOSS,REBUILD,5642.7,5610.0,3.0,Primary stop-loss reached.,SUPPLEMENTAL,5580.0,5610.0,5640.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-1.0,0.0286,0.1196,-7.9774,-7.8004,0.086,conservative,
2025-04-15T15:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5433.15,5430.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5400.0,5430.0,5460.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
