timestamp,symbol,week_key,from_state,to_state,reason,regime,price,center_price,active_butterflies,adjustments_this_week
2025-09-02T14:00:00+00:00,SPX,2025-09-01,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6404.18,0.0,3,0
2025-09-05T19:00:00+00:00,SPX,2025-09-01,ACTIVE,EXITED,Forced weekly exit window reached.,RANGE,6473.37,0.0,3,0
2025-09-08T14:00:00+00:00,SPX,2025-09-08,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6494.02,0.0,3,0
2025-09-12T19:00:00+00:00,SPX,2025-09-08,ACTIVE,EXITED,Forced weekly exit window reached.,RANGE,6598.64,0.0,3,0
2025-09-15T14:00:00+00:00,SPX,2025-09-15,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6611.08,0.0,3,0
2025-09-19T19:00:00+00:00,SPX,2025-09-15,ACTIVE,EXITED,Forced weekly exit window reached.,RANGE,6657.58,0.0,3,0
2025-09-22T14:00:00+00:00,SPX,2025-09-22,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6661.0,0.0,3,0
2025-09-26T19:00:00+00:00,SPX,2025-09-22,ACTIVE,EXITED,Forced weekly exit window reached.,RANGE,6643.8,0.0,3,0
2025-09-29T14:00:00+00:00,SPX,2025-09-29,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6667.71,0.0,3,0
2025-10-03T19:00:00+00:00,SPX,2025-09-29,ACTIVE,EXITED,Forced weekly exit window reached.,RANGE,6722.15,0.0,3,0
2025-10-06T14:00:00+00:00,SPX,2025-10-06,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6723.75,0.0,3,0
2025-10-10T19:00:00+00:00,SPX,2025-10-06,ACTIVE,EXITED,Forced weekly exit window reached.,RANGE,6598.99,0.0,3,0
2025-10-13T14:00:00+00:00,SPX,2025-10-13,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6653.48,0.0,3,0
2025-10-17T19:00:00+00:00,SPX,2025-10-13,ACTIVE,EXITED,Forced weekly exit window reached.,RANGE,6669.58,0.0,3,0
2025-10-20T14:00:00+00:00,SPX,2025-10-20,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6715.26,0.0,3,0
2025-10-24T19:00:00+00:00,SPX,2025-10-20,ACTIVE,EXITED,Forced weekly exit window reached.,RANGE,6806.06,0.0,3,0
2025-10-27T14:00:00+00:00,SPX,2025-10-27,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6856.46,0.0,3,0
2025-10-28T19:30:00+00:00,SPX,2025-10-27,ACTIVE,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,6908.22,0.0,3,0
2025-11-03T15:00:00+00:00,SPX,2025-11-03,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6842.96,0.0,3,0
2025-11-07T17:00:00+00:00,SPX,2025-11-03,ACTIVE,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_DOWN,6635.63,0.0,3,0
