config_name,wing_mode,broken_wing_extra_width,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars
symmetric_bw0_w80_tol12p5_rt18_dp8_cd90,symmetric,0.0,80.0,160.0,12.5,18.0,8,90,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8,6378.6
symmetric_bw0_w80_tol10_rt18_dp10_cd90,symmetric,0.0,80.0,160.0,10.0,18.0,10,90,86933.7255,0.869337,-1432.79,0.5177,0.352,530,0.969811,172.972661,255.547405,1511.9419,-126.1455,6361.8,6378.6
symmetric_bw0_w80_tol12p5_rt16_dp10_cd60,symmetric,0.0,80.0,160.0,12.5,16.0,10,60,86914.7019,0.869147,-1432.79,0.5972,0.348,530,0.967925,178.442326,237.612749,1676.0339,-126.1455,6361.8,6378.6
broken_lower_bw20_w60_tol12p5_rt16_dp10_cd90,broken_lower,20.0,60.0,120.0,12.5,16.0,10,90,86321.3881,0.863214,-3794.99,0.5972,0.312,521,0.984645,31.412971,31.808611,1625.1521,-2767.4469,6801.2,6812.4
broken_upper_bw20_w60_tol12p5_rt14_dp10_cd90,broken_upper,20.0,60.0,120.0,12.5,14.0,10,90,86039.0477,0.86039,-3841.8599999999997,0.5972,0.332,530,0.950943,15.287117,15.860081,1351.7403,-2775.1995,6801.2,6812.4
symmetric_bw0_w80_tol12p5_rt16_dp10_cd90,symmetric,0.0,80.0,160.0,12.5,16.0,10,90,85645.0704,0.856451,-1432.79,0.5972,0.316,522,0.965517,165.222216,234.156361,1510.7215,-126.1455,6361.8,6378.6
broken_lower_bw20_w60_tol15_rt14_dp8_cd60,broken_lower,20.0,60.0,120.0,15.0,14.0,8,60,85588.4981,0.855885,-3794.99,0.656,0.336,523,0.978967,30.571515,31.533481,1299.5117,-2767.4469,6801.2,6812.4
broken_upper_bw20_w60_tol12p5_rt16_dp10_cd60,broken_upper,20.0,60.0,120.0,12.5,16.0,10,60,85309.8638,0.853099,-3841.8599999999997,0.5972,0.344,528,0.952652,15.293106,15.734141,1518.4489,-2775.1995,6801.2,6812.4
broken_upper_bw20_w60_tol10_rt18_dp10_cd60,broken_upper,20.0,60.0,120.0,10.0,18.0,10,60,85289.3818,0.852894,-3841.8599999999997,0.5177,0.38,536,0.964552,12.76433,13.127851,1520.0067,-2775.1995,6801.2,6812.4
symmetric_bw0_w80_tol15_rt14_dp8_cd60,symmetric,0.0,80.0,160.0,15.0,14.0,8,60,85020.3246,0.850203,-1432.79,0.656,0.344,525,0.961905,119.33203,168.221575,1349.8991,-135.7399,6361.8,6378.6
broken_lower_bw20_w60_tol15_rt16_dp8_cd60,broken_lower,20.0,60.0,120.0,15.0,16.0,8,60,84841.3249,0.848413,-3794.99,0.656,0.324,518,0.978764,30.313358,31.266929,1447.2316,-2767.4469,6801.2,6812.4
broken_lower_bw20_w60_tol12p5_rt18_dp10_cd60,broken_lower,20.0,60.0,120.0,12.5,18.0,10,60,84764.0347,0.84764,-3794.99,0.5972,0.3,514,0.98249,30.747743,31.252783,1811.083,-2767.4469,6801.2,6812.4
symmetric_bw0_w80_tol12p5_rt18_dp10_cd60,symmetric,0.0,80.0,160.0,12.5,18.0,10,60,84306.9109,0.843069,-1432.79,0.5972,0.308,516,0.967054,173.11835,230.513414,1676.0339,-126.1455,6361.8,6378.6
