timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,paper_spread_entry_penalty,paper_spread_close_penalty,paper_spread_penalty_round_trip,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,1,Opened the primary butterfly corridor layer.,PRIMARY,5330.0,5430.0,5550.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,0.276,0.276,0.25,0.026,0.0,0.0,0.0,40.676,1,100,,,,,,,,,
2025-04-15T15:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5421.24,5430.0,1,Primary take-profit reached.,PRIMARY,5330.0,5430.0,5550.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,,0.276,,,0.0,0.0,0.0,,1,100,0.7201,35.5644,35.8404,14.8884,15.4404,0.276,0.25,0.026,none
2025-04-15T15:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5427.51,5425.0,2,Opened the primary butterfly corridor layer.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,0.276,0.276,0.25,0.026,0.0,0.0,0.0,40.676,1,100,,,,,,,,,
2025-04-15T16:00:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5431.07,5425.0,2,Primary take-profit reached.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,,0.276,,,0.0,0.0,0.0,,1,100,0.7393,35.9618,36.2378,15.2858,15.8378,0.276,0.25,0.026,none
2025-04-15T16:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5425.7,5425.0,3,Opened the primary butterfly corridor layer.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,0.276,0.276,0.25,0.026,0.0,0.0,0.0,40.676,1,100,,,,,,,,,
2025-04-15T16:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5426.4,5425.0,3,Primary take-profit reached.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,,0.276,,,0.0,0.0,0.0,,1,100,0.7595,36.3797,36.6557,15.7037,16.2557,0.276,0.25,0.026,none
2025-04-15T16:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.74,5425.0,4,Opened the primary butterfly corridor layer.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,0.276,0.276,0.25,0.026,0.0,0.0,0.0,40.676,1,100,,,,,,,,,
2025-04-15T16:20:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5430.35,5425.0,4,Primary take-profit reached.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,,0.276,,,0.0,0.0,0.0,,1,100,0.7424,36.0263,36.3023,15.3503,15.9023,0.276,0.25,0.026,none
2025-04-15T16:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5428.09,5430.0,5,Opened the primary butterfly corridor layer.,PRIMARY,5330.0,5430.0,5550.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,0.276,0.276,0.25,0.026,0.0,0.0,0.0,40.676,1,100,,,,,,,,,
2025-04-15T16:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5425.86,5430.0,5,Primary take-profit reached.,PRIMARY,5330.0,5430.0,5550.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,,0.276,,,0.0,0.0,0.0,,1,100,0.7441,36.0604,36.3364,15.3844,15.9364,0.276,0.25,0.026,none
2025-04-15T16:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.9,5425.0,6,Opened the primary butterfly corridor layer.,PRIMARY,5325.0,5425.0,5545.0,100.0,100.0,120.0,broken_upper,7,20.676,20.4,0.276,0.276,0.25,0.026,0.0,0.0,0.0,40.676,1,100,,,,,,,,,
