timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_count,primary_return_pct
2025-04-02T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.97,5605.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5545.0,5605.0,5665.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-02T14:15:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5623.31,5615.0,2.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5555.0,5615.0,5675.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-02T14:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5627.86,5605.0,,Corridor drift started.,,,,,,,,,,,,,22.86,,,,,,,,
2025-04-02T14:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5629.5,5610.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-02T14:45:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5634.28,5610.0,,Corridor drift started.,,,,,,,,,,,,,24.28,,,,,,,,
2025-04-02T15:10:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5633.26,5620.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-02T15:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5649.71,5620.0,,Corridor drift started.,,,,,,,,,,,,,29.71,,,,,,,,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5605.0,1.0,Regime turned TREND_UP.,PRIMARY,5545.0,5605.0,5665.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,15.2112,17.9816,-0.7148,2.1416,0.086,conservative,,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5615.0,2.0,Regime turned TREND_UP.,SUPPLEMENTAL,5555.0,5615.0,5675.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,15.6835,18.5372,-0.2425,2.6972,0.086,conservative,,
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,3.0,Opened the primary butterfly corridor layer.,PRIMARY,5370.0,5430.0,5490.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-15T16:50:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5412.98,5420.0,4.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5360.0,5420.0,5480.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-15T17:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5404.24,5425.0,,Corridor drift started.,,,,,,,,,,,,,20.76,,,,,,,,
2025-04-15T17:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5404.57,5420.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-15T17:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5393.71,5420.0,,Corridor drift started.,,,,,,,,,,,,,26.29,,,,,,,,
2025-04-15T17:55:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5401.3,5420.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-15T18:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5390.95,5415.0,,Corridor drift started.,,,,,,,,,,,,,24.05,,,,,,,,
2025-04-15T18:25:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5392.48,5410.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-15T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5398.18,5430.0,3.0,Session window closed.,PRIMARY,5370.0,5430.0,5490.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.3784,19.3547,0.4524,3.5147,0.086,conservative,,
2025-04-15T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5398.18,5420.0,4.0,Session window closed.,SUPPLEMENTAL,5360.0,5420.0,5480.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.8035,19.8549,0.8775,4.0149,0.086,conservative,,
2025-04-25T14:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5471.12,5475.0,5.0,Opened the primary butterfly corridor layer.,PRIMARY,5415.0,5475.0,5535.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-25T16:20:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5501.89,5495.0,6.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5435.0,5495.0,5555.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-25T16:40:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5508.89,5485.0,,Corridor drift started.,,,,,,,,,,,,,23.89,,,,,,,,
2025-04-25T16:45:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5503.66,5485.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-25T16:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5507.75,5485.0,,Corridor drift started.,,,,,,,,,,,,,22.75,,,,,,,,
2025-04-25T16:55:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5509.44,5490.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
