timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile
2025-03-31T17:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5561.02,5555.0,1,Opened the primary butterfly corridor layer.,PRIMARY,5475.0,5555.0,5635.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-03-31T17:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5553.01,5555.0,1,Primary take-profit reached.,PRIMARY,5475.0,5555.0,5635.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6803,29.9538,30.1798,12.1278,12.5798,0.226,0.2,0.026,none
2025-03-31T18:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5566.62,5555.0,2,Opened the primary butterfly corridor layer.,PRIMARY,5475.0,5555.0,5635.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-03-31T18:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5582.75,5555.0,2,Primary take-profit reached.,PRIMARY,5475.0,5555.0,5635.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5291,27.2572,27.4832,9.4312,9.8832,0.226,0.2,0.026,none
2025-04-01T19:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5614.64,5610.0,3,Opened the primary butterfly corridor layer.,PRIMARY,5530.0,5610.0,5690.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-01T19:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5618.42,5610.0,3,Primary take-profit reached.,PRIMARY,5530.0,5610.0,5690.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6426,29.2807,29.5067,11.4547,11.9067,0.226,0.2,0.026,none
2025-04-02T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.07,5605.0,4,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T14:00:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5625.8,5605.0,4,Primary take-profit reached.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5699,27.9847,28.2107,10.1587,10.6107,0.226,0.2,0.026,none
2025-04-02T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.97,5605.0,5,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T14:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5613.23,5605.0,5,Primary take-profit reached.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6437,29.3006,29.5266,11.4746,11.9266,0.226,0.2,0.026,none
2025-04-02T14:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5623.31,5605.0,6,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T14:20:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5627.86,5605.0,6,Primary take-profit reached.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5578,27.7691,27.9951,9.9431,10.3951,0.226,0.2,0.026,none
2025-04-02T14:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5629.9,5605.0,7,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T14:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5631.62,5605.0,7,Primary take-profit reached.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5357,27.3755,27.6015,9.5495,10.0015,0.226,0.2,0.026,none
2025-04-02T14:35:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5631.64,5610.0,8,Opened the primary butterfly corridor layer.,PRIMARY,5530.0,5610.0,5690.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T14:40:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5629.5,5610.0,8,Primary take-profit reached.,PRIMARY,5530.0,5610.0,5690.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5775,28.1208,28.3468,10.2948,10.7468,0.226,0.2,0.026,none
2025-04-02T14:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5634.28,5610.0,9,Opened the primary butterfly corridor layer.,PRIMARY,5530.0,5610.0,5690.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T14:50:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5634.56,5610.0,9,Primary take-profit reached.,PRIMARY,5530.0,5610.0,5690.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5478,27.5911,27.8171,9.7651,10.2171,0.226,0.2,0.026,none
2025-04-02T18:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5654.92,5660.0,10,Opened the primary butterfly corridor layer.,PRIMARY,5580.0,5660.0,5740.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T18:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5654.22,5660.0,10,Primary take-profit reached.,PRIMARY,5580.0,5660.0,5740.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6581,29.5571,29.7831,11.7311,12.1831,0.226,0.2,0.026,none
2025-04-02T18:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5650.09,5665.0,11,Opened the primary butterfly corridor layer.,PRIMARY,5585.0,5665.0,5745.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T18:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5633.3,5665.0,11,Primary take-profit reached.,PRIMARY,5585.0,5665.0,5745.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5059,26.8437,27.0697,9.0177,9.4697,0.226,0.2,0.026,none
2025-04-02T19:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5648.86,5665.0,12,Opened the primary butterfly corridor layer.,PRIMARY,5585.0,5665.0,5745.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T19:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5647.82,5665.0,12,Primary take-profit reached.,PRIMARY,5585.0,5665.0,5745.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5911,28.3637,28.5897,10.5377,10.9897,0.226,0.2,0.026,none
2025-04-02T19:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5643.11,5660.0,13,Opened the primary butterfly corridor layer.,PRIMARY,5580.0,5660.0,5740.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2025-04-02T19:15:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5641.59,5660.0,13,Primary take-profit reached.,PRIMARY,5580.0,5660.0,5740.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.5839,28.2349,28.4609,10.4089,10.8609,0.226,0.2,0.026,none
