config_name,stage,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,max_layers,primary_stop_loss_pct,primary_take_profit_pct,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p3_tp0p25,refine,80.0,160.0,12.5,16.0,8,90,2,0.3,0.25,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p2_tp0p15,refine,80.0,160.0,12.5,18.0,8,60,2,0.2,0.15,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p2_tp0p2,refine,80.0,160.0,12.5,18.0,8,60,2,0.2,0.2,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p2_tp0p25,refine,80.0,160.0,12.5,18.0,8,60,2,0.2,0.25,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p25_tp0p15,refine,80.0,160.0,12.5,18.0,8,60,2,0.25,0.15,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p25_tp0p2,refine,80.0,160.0,12.5,18.0,8,60,2,0.25,0.2,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p25_tp0p25,refine,80.0,160.0,12.5,18.0,8,60,2,0.25,0.25,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p3_tp0p15,refine,80.0,160.0,12.5,18.0,8,60,2,0.3,0.15,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p3_tp0p2,refine,80.0,160.0,12.5,18.0,8,60,2,0.3,0.2,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p3_tp0p25,refine,80.0,160.0,12.5,18.0,8,60,2,0.3,0.25,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p2_tp0p15,refine,80.0,160.0,12.5,18.0,8,90,2,0.2,0.15,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p2_tp0p2,refine,80.0,160.0,12.5,18.0,8,90,2,0.2,0.2,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p2_tp0p25,refine,80.0,160.0,12.5,18.0,8,90,2,0.2,0.25,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p25_tp0p15,refine,80.0,160.0,12.5,18.0,8,90,2,0.25,0.15,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p25_tp0p2,refine,80.0,160.0,12.5,18.0,8,90,2,0.25,0.2,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p25_tp0p25,refine,80.0,160.0,12.5,18.0,8,90,2,0.25,0.25,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p3_tp0p15,refine,80.0,160.0,12.5,18.0,8,90,2,0.3,0.15,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p3_tp0p2,refine,80.0,160.0,12.5,18.0,8,90,2,0.3,0.2,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p3_tp0p25,refine,80.0,160.0,12.5,18.0,8,90,2,0.3,0.25,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml1_sl0p2_tp0p2,refine,80.0,160.0,12.5,16.0,8,60,1,0.2,0.2,48104.0573,0.481041,-706.1,0.5972,0.452,327,0.963303,139.720564,289.804055,1045.3619,-45.9136,4241.2
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml1_sl0p2_tp0p15,refine,80.0,160.0,12.5,16.0,8,60,1,0.2,0.15,48104.0573,0.481041,-706.1,0.5972,0.452,327,0.963303,139.720564,289.804055,1045.3619,-45.9136,4241.2
