timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,drift_distance
2026-03-20T14:17:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,652.38,654.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,649.0,654.0,659.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-20T14:18:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,651.99,653.0,2.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,648.0,653.0,658.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-20T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,647.02,654.0,1.0,Session window closed.,PRIMARY,649.0,654.0,659.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,0.0,0.0,-1.156,-1.1,0.056,
2026-03-20T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,647.02,653.0,2.0,Session window closed.,SUPPLEMENTAL,648.0,653.0,658.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,0.0,0.0131,-1.156,-1.0869,0.056,
2026-03-23T14:17:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,660.76,659.0,3.0,Opened the primary butterfly corridor layer.,PRIMARY,654.0,659.0,664.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-23T14:21:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,661.58,661.0,4.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,656.0,661.0,666.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-23T15:58:00+00:00,SPY,DRIFT_STARTED,DRIFTING,655.94,659.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,3.06
2026-03-23T16:00:00+00:00,SPY,DRIFT_RESOLVED,ACTIVE_CENTERED,656.17,658.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,
2026-03-23T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,657.23,659.0,3.0,Session window closed.,PRIMARY,654.0,659.0,664.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,1.7683,1.8243,0.6123,0.7243,0.056,
2026-03-23T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,657.23,661.0,4.0,Session window closed.,SUPPLEMENTAL,656.0,661.0,666.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,1.5344,1.5904,0.3784,0.4904,0.056,
2026-03-24T14:08:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,653.1,651.0,5.0,Opened the primary butterfly corridor layer.,PRIMARY,646.0,651.0,656.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-24T14:09:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,653.41,652.0,6.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,647.0,652.0,657.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-24T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,654.47,651.0,5.0,Session window closed.,PRIMARY,646.0,651.0,656.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,1.5716,1.6276,0.4156,0.5276,0.056,
2026-03-24T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,654.47,652.0,6.0,Session window closed.,SUPPLEMENTAL,647.0,652.0,657.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,1.6884,1.7444,0.5324,0.6444,0.056,
2026-03-25T14:17:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,657.93,657.0,7.0,Opened the primary butterfly corridor layer.,PRIMARY,652.0,657.0,662.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-25T14:32:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,658.52,658.0,8.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,653.0,658.0,663.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-25T15:16:00+00:00,SPY,DRIFT_STARTED,DRIFTING,654.93,658.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,3.07
2026-03-25T15:18:00+00:00,SPY,DRIFT_RESOLVED,ACTIVE_CENTERED,654.88,657.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,
2026-03-25T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,656.39,657.0,7.0,Session window closed.,PRIMARY,652.0,657.0,662.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,1.9036,1.9596,0.7476,0.8596,0.056,
2026-03-25T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,656.39,658.0,8.0,Session window closed.,SUPPLEMENTAL,653.0,658.0,663.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,1.7831,1.8391,0.6271,0.7391,0.056,
2026-03-26T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,653.37,654.0,9.0,Opened the primary butterfly corridor layer.,PRIMARY,649.0,654.0,659.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-26T14:46:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,652.46,653.0,10.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,648.0,653.0,658.0,5.0,5.0,1.156,1.1,0.056,0.056,1.0,100.0,,,,,,
2026-03-26T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,645.58,654.0,9.0,Session window closed.,PRIMARY,649.0,654.0,659.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,0.0,0.0,-1.156,-1.1,0.056,
2026-03-26T19:31:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,645.58,653.0,10.0,Session window closed.,SUPPLEMENTAL,648.0,653.0,658.0,5.0,5.0,1.156,1.1,,0.056,1.0,100.0,0.0,0.0,-1.156,-1.1,0.056,
