timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,paper_spread_entry_penalty,paper_spread_close_penalty,paper_spread_penalty_round_trip,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,1,Opened the primary butterfly corridor layer.,PRIMARY,5350.0,5430.0,5510.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,0.0,0.0,0.0,17.826,1,100,,,,,,,,,
2025-04-15T15:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5421.24,5430.0,1,Primary take-profit reached.,PRIMARY,5350.0,5430.0,5510.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,0.0,0.0,0.0,,1,100,0.6406,29.2451,29.4711,11.4191,11.8711,0.226,0.2,0.026,none
2025-04-15T15:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5427.51,5425.0,2,Opened the primary butterfly corridor layer.,PRIMARY,5345.0,5425.0,5505.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,0.0,0.0,0.0,17.826,1,100,,,,,,,,,
2025-04-15T16:00:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5431.07,5425.0,2,Primary take-profit reached.,PRIMARY,5345.0,5425.0,5505.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,0.0,0.0,0.0,,1,100,0.6564,29.5267,29.7527,11.7007,12.1527,0.226,0.2,0.026,none
2025-04-15T16:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5425.7,5425.0,3,Opened the primary butterfly corridor layer.,PRIMARY,5345.0,5425.0,5505.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,0.0,0.0,0.0,17.826,1,100,,,,,,,,,
2025-04-15T16:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5426.4,5425.0,3,Primary take-profit reached.,PRIMARY,5345.0,5425.0,5505.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,0.0,0.0,0.0,,1,100,0.6838,30.0156,30.2416,12.1896,12.6416,0.226,0.2,0.026,none
2025-04-15T16:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.74,5425.0,4,Opened the primary butterfly corridor layer.,PRIMARY,5345.0,5425.0,5505.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,0.0,0.0,0.0,17.826,1,100,,,,,,,,,
2025-04-15T16:20:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5430.35,5425.0,4,Primary take-profit reached.,PRIMARY,5345.0,5425.0,5505.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,0.0,0.0,0.0,,1,100,0.6606,29.6021,29.8281,11.7761,12.2281,0.226,0.2,0.026,none
2025-04-15T16:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5428.09,5430.0,5,Opened the primary butterfly corridor layer.,PRIMARY,5350.0,5430.0,5510.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,0.0,0.0,0.0,17.826,1,100,,,,,,,,,
2025-04-15T16:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5425.86,5430.0,5,Primary take-profit reached.,PRIMARY,5350.0,5430.0,5510.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,0.0,0.0,0.0,,1,100,0.6677,29.7288,29.9548,11.9028,12.3548,0.226,0.2,0.026,none
