timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_count
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5400.0,5430.0,5460.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-15T15:35:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5421.24,5425.0,2.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5395.0,5425.0,5455.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-15T16:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5412.98,5425.0,,Corridor drift started.,,,,,,,,,,,,,12.02,,,,,,,,
2025-04-15T17:20:00+00:00,SPX,STOP_LOSS,DRIFTING,5397.9,5430.0,1.0,Primary stop-loss reached.,PRIMARY,5400.0,5430.0,5460.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-0.9949,0.0408,0.134,-7.9652,-7.786,0.086,conservative,
2025-04-15T17:20:00+00:00,SPX,STOP_LOSS,DRIFTING,5397.9,5425.0,2.0,Primary stop-loss reached.,SUPPLEMENTAL,5395.0,5425.0,5455.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-0.9949,7.5901,9.0155,-0.4159,1.0955,0.086,conservative,
2025-04-25T14:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5471.12,5475.0,3.0,Opened the primary butterfly corridor layer.,PRIMARY,5445.0,5475.0,5505.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-25T14:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5463.9,5475.0,,Corridor drift started.,,,,,,,,,,,,,11.1,,,,,,,,
2025-04-25T14:30:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5468.91,5475.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-25T14:40:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5484.95,5480.0,4.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5450.0,5480.0,5510.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-25T15:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5490.03,5480.0,,Corridor drift started.,,,,,,,,,,,,,10.03,,,,,,,,
2025-04-25T15:15:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5486.41,5480.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-25T15:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5491.32,5480.0,,Corridor drift started.,,,,,,,,,,,,,11.32,,,,,,,,
2025-04-25T15:25:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5482.45,5480.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-25T16:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5490.05,5480.0,,Corridor drift started.,,,,,,,,,,,,,10.05,,,,,,,,
2025-04-25T16:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5491.33,5485.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-04-25T16:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5501.89,5485.0,,Corridor drift started.,,,,,,,,,,,,,16.89,,,,,,,,
2025-04-25T16:40:00+00:00,SPX,STOP_LOSS,DRIFTING,5508.89,5475.0,3.0,Primary stop-loss reached.,PRIMARY,5445.0,5475.0,5505.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-0.9996,0.0029,0.0894,-8.0031,-7.8306,0.086,conservative,
2025-04-25T16:40:00+00:00,SPX,STOP_LOSS,DRIFTING,5508.89,5480.0,4.0,Primary stop-loss reached.,SUPPLEMENTAL,5450.0,5480.0,5510.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-0.9996,7.5076,8.9185,-0.4984,0.9985,0.086,conservative,
2025-04-25T16:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5503.66,5485.0,5.0,Opened the primary butterfly corridor layer.,PRIMARY,5455.0,5485.0,5515.0,30.0,7.0,8.006,7.92,0.086,0.086,1.0,100.0,,,,,,,,,
2025-04-25T16:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5507.75,5485.0,,Corridor drift started.,,,,,,,,,,,,,22.75,,,,,,,,
2025-04-25T17:10:00+00:00,SPX,STOP_LOSS,DRIFTING,5518.02,5485.0,5.0,Primary stop-loss reached.,PRIMARY,5455.0,5485.0,5515.0,30.0,7.0,8.006,7.92,,0.086,1.0,100.0,,-0.9973,0.0219,0.1118,-7.9841,-7.8082,0.086,conservative,
