timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_distance,drift_count
2025-04-02T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.97,5605.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5545.0,5605.0,5705.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-02T14:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5613.23,5605.0,1.0,Primary take-profit reached.,PRIMARY,5545.0,5605.0,5705.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2369,14.9497,17.6739,2.8637,5.6739,0.086,conservative,,
2025-04-02T14:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5629.9,5605.0,2.0,Opened the primary butterfly corridor layer.,PRIMARY,5545.0,5605.0,5705.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-02T14:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5631.62,5610.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,21.62,
2025-04-02T15:15:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5639.65,5620.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,,,,,,19.65,10.0
2025-04-02T15:20:00+00:00,SPX,REBUILT,REBUILD,5649.71,5605.0,2.0,Removed prior layers for rebuild.,PRIMARY,5545.0,5605.0,5705.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,,0.086,,1.0,100.0,,13.7799,16.2977,1.6939,4.2977,0.086,conservative,,
2025-04-02T15:20:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5649.71,5620.0,3.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5560.0,5620.0,5720.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-02T15:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5655.2,5620.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,35.2,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5620.0,3.0,Regime turned TREND_UP.,PRIMARY,5560.0,5620.0,5720.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,,0.086,,1.0,100.0,,13.9411,16.4873,1.8551,4.4873,0.086,conservative,,
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5370.0,5430.0,5530.0,60.0,60.0,100.0,broken_upper,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
