config_name,stage,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,max_layers,primary_stop_loss_pct,primary_take_profit_pct,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars
refine_w40_cb80_tol12p5_rt16_dp8_cd60_ml1_sl0p2_tp0p15,refine,40.0,80.0,12.5,16.0,8,60,1,0.2,0.15,-46260.9017,-0.462609,-46551.549999999996,0.5972,0.296,291,0.560137,0.195484,0.173258,290.1534,-2151.4869,2129.2
refine_w40_cb80_tol12p5_rt16_dp8_cd60_ml2_sl0p2_tp0p15,refine,40.0,80.0,12.5,16.0,8,60,2,0.2,0.15,-54123.8069,-0.541238,-54719.119999999995,0.5972,0.296,514,0.63035,0.305306,0.274667,607.6111,-3177.1349,3193.8
