timestamp,symbol,price,regime,state,bar_pnl,realized_pnl,unrealized_pnl,gross_realized_pnl,gross_unrealized_pnl,gross_total_equity,total_equity,modeled_capital_at_risk,corridor_occupancy,active_layers
2026-04-08T13:30:00+00:00,SPX,6785.47,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T13:35:00+00:00,SPX,6777.96,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T13:40:00+00:00,SPX,6776.55,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T13:45:00+00:00,SPX,6785.45,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T13:50:00+00:00,SPX,6764.98,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T13:55:00+00:00,SPX,6773.29,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:00:00+00:00,SPX,6774.37,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:05:00+00:00,SPX,6772.57,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:10:00+00:00,SPX,6773.19,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:15:00+00:00,SPX,6769.98,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:20:00+00:00,SPX,6772.09,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:25:00+00:00,SPX,6765.14,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:30:00+00:00,SPX,6760.75,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:35:00+00:00,SPX,6756.46,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:40:00+00:00,SPX,6757.9,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:45:00+00:00,SPX,6758.34,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:50:00+00:00,SPX,6754.96,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T14:55:00+00:00,SPX,6752.45,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:00:00+00:00,SPX,6760.86,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:05:00+00:00,SPX,6751.11,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:10:00+00:00,SPX,6755.7,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:15:00+00:00,SPX,6758.41,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:20:00+00:00,SPX,6759.36,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:25:00+00:00,SPX,6754.59,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:30:00+00:00,SPX,6761.91,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:35:00+00:00,SPX,6766.15,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:40:00+00:00,SPX,6766.01,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:45:00+00:00,SPX,6772.37,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:50:00+00:00,SPX,6773.43,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T15:55:00+00:00,SPX,6773.0,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:00:00+00:00,SPX,6778.03,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:05:00+00:00,SPX,6776.24,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:10:00+00:00,SPX,6773.48,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:15:00+00:00,SPX,6771.79,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:20:00+00:00,SPX,6773.32,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:25:00+00:00,SPX,6774.55,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T16:30:00+00:00,SPX,6778.44,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:35:00+00:00,SPX,6779.88,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:40:00+00:00,SPX,6783.4,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:45:00+00:00,SPX,6784.82,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:50:00+00:00,SPX,6784.75,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T16:55:00+00:00,SPX,6784.91,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T17:00:00+00:00,SPX,6785.11,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T17:05:00+00:00,SPX,6782.71,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T17:10:00+00:00,SPX,6782.97,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
2026-04-08T17:15:00+00:00,SPX,6781.42,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T17:20:00+00:00,SPX,6776.49,NEUTRAL,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T17:25:00+00:00,SPX,6774.05,RANGE,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T17:30:00+00:00,SPX,6775.66,RANGE,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T17:35:00+00:00,SPX,6776.77,RANGE,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T17:40:00+00:00,SPX,6780.07,RANGE,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T17:45:00+00:00,SPX,6778.46,RANGE,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T17:50:00+00:00,SPX,6780.6,RANGE,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T17:55:00+00:00,SPX,6781.83,RANGE,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T18:00:00+00:00,SPX,6786.37,RANGE,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
2026-04-08T18:05:00+00:00,SPX,6788.79,RANGE,IDLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
