symbol,structure,entry_time_utc,exit_time_utc,expiry_date,entry_underlying,exit_underlying,entry_value,exit_value,pnl_points,pnl_dollars,return_pct,sigma,exit_reason,legs
SPY,put_debit_spread,2026-03-12T19:02:00+00:00,2026-03-12T19:05:00+00:00,2026-03-17,666.97,667.54,1.3204,1.2486,-0.0718,-7.18,-5.4397,0.1187,signal_exit,BUY 1 SPY 2026-03-17 667 PUT ; SELL 1 SPY 2026-03-17 664 PUT
SPY,put_debit_spread,2026-03-13T14:58:00+00:00,2026-03-13T15:07:00+00:00,2026-03-18,665.35,665.51,2.7286,2.7078,-0.0208,-2.08,-0.7613,0.2316,signal_exit,BUY 1 SPY 2026-03-18 666 PUT ; SELL 1 SPY 2026-03-18 660 PUT
SPY,put_debit_spread,2026-03-18T14:29:00+00:00,2026-03-18T14:33:00+00:00,2026-03-23,665.96,666.82,2.1632,2.0406,-0.1226,-12.26,-5.6685,0.1711,signal_exit,BUY 1 SPY 2026-03-23 666 PUT ; SELL 1 SPY 2026-03-23 661 PUT
SPY,put_debit_spread,2026-03-20T17:37:00+00:00,2026-03-20T17:53:00+00:00,2026-03-25,650.94,651.25,1.6866,1.6352,-0.0514,-5.14,-3.0449,0.1224,signal_exit,BUY 1 SPY 2026-03-25 651 PUT ; SELL 1 SPY 2026-03-25 647 PUT
SPY,call_debit_spread,2026-03-24T18:40:00+00:00,2026-03-24T18:42:00+00:00,2026-03-27,656.37,655.22,1.9657,1.6955,-0.2702,-27.02,-13.7447,0.1312,signal_exit,BUY 1 SPY 2026-03-27 656 CALL ; SELL 1 SPY 2026-03-27 661 CALL
SPY,put_debit_spread,2026-03-25T18:56:00+00:00,2026-03-25T19:13:00+00:00,2026-03-30,655.93,656.36,1.6266,1.5431,-0.0835,-8.35,-5.1322,0.1025,signal_exit,BUY 1 SPY 2026-03-30 656 PUT ; SELL 1 SPY 2026-03-30 652 PUT
SPY,put_debit_spread,2026-03-26T16:17:00+00:00,2026-03-26T16:45:00+00:00,2026-03-31,650.23,649.55,1.771,1.9024,0.1314,13.14,7.4195,0.1051,signal_exit,BUY 1 SPY 2026-03-31 651 PUT ; SELL 1 SPY 2026-03-31 647 PUT
