timestamp_utc,timestamp_local,symbol,signal,regime,price,reason,extras_json,option_structure,option_expiry,option_legs,option_notes
2026-03-24T18:45:00+00:00,2026-03-24 14:45:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,655.14,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""opening_range_high"": 653.04, ""opening_range_low"": 649.88, ""range_center"": 655.0842, ""range_width_pct"": 0.0089}",call_butterfly,2026-03-25,BUY 1 SPY 2026-03-25 645 CALL ; SELL 2 SPY 2026-03-25 655 CALL ; BUY 1 SPY 2026-03-25 665 CALL,"range_center~655.08, width_pct=0.0089"
2026-03-25T18:37:00+00:00,2026-03-25 14:37:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.44,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""opening_range_high"": 660.89, ""opening_range_low"": 656.42, ""range_center"": 656.7402, ""range_width_pct"": 0.0095}",call_butterfly,2026-03-26,BUY 1 SPY 2026-03-26 647 CALL ; SELL 2 SPY 2026-03-26 657 CALL ; BUY 1 SPY 2026-03-26 667 CALL,"range_center~656.74, width_pct=0.0095"
2026-03-26T19:40:00+00:00,2026-03-26 15:40:00 EDT,SPY,TREND_SHORT,TREND_DOWN,645.99,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 646.4802, ""opening_range_low"": 650.73, ""stop_price"": 648.1681, ""target_price"": 642.7228, ""volume_ratio"": 1.068}",put_debit_spread,2026-03-31,BUY 1 SPY 2026-03-31 646 PUT ; SELL 1 SPY 2026-03-31 642 PUT,"invalidate_above=648.17, target~642.72"
