timestamp_utc,timestamp_local,symbol,signal,regime,price,reason,extras_json
2026-03-23T18:32:00+00:00,2026-03-23 14:32:00 EDT,QQQ,TREND_LONG,TREND_UP,589.86,Trend-up pullback to fast EMA with positive momentum/volume confirmation.,"{""ema_fast"": 589.5467, ""stop_price"": 588.5288, ""target_price"": 591.8568, ""volume_ratio"": 1.298}"
2026-03-23T18:34:00+00:00,2026-03-23 14:34:00 EDT,SPY,TREND_LONG,TREND_UP,658.85,Trend-up pullback to fast EMA with positive momentum/volume confirmation.,"{""ema_fast"": 657.8725, ""stop_price"": 656.6443, ""target_price"": 662.1586, ""volume_ratio"": 1.447}"
2026-03-23T18:42:00+00:00,2026-03-23 14:42:00 EDT,QQQ,EXIT_LONG,NO_TRADE,590.76,Long exited because regime is no longer TREND_UP.,{}
2026-03-23T18:42:00+00:00,2026-03-23 14:42:00 EDT,SPY,EXIT_LONG,NO_TRADE,658.81,Long exited because regime is no longer TREND_UP.,{}
2026-03-23T19:15:00+00:00,2026-03-23 15:15:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,658.0,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 658.1392, ""range_width_pct"": 0.0038}"
2026-03-23T19:21:00+00:00,2026-03-23 15:21:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,590.07,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 590.2169, ""range_width_pct"": 0.0039}"
2026-03-23T19:25:00+00:00,2026-03-23 15:25:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.5,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 658.1714, ""range_width_pct"": 0.0036}"
2026-03-23T19:31:00+00:00,2026-03-23 15:31:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,589.93,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 590.2532, ""range_width_pct"": 0.0032}"
2026-03-23T19:37:00+00:00,2026-03-23 15:37:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.33,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 658.1003, ""range_width_pct"": 0.0036}"
2026-03-23T19:41:00+00:00,2026-03-23 15:41:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,590.13,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 590.2936, ""range_width_pct"": 0.0028}"
2026-03-23T19:47:00+00:00,2026-03-23 15:47:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.87,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 658.1238, ""range_width_pct"": 0.0034}"
2026-03-23T19:52:00+00:00,2026-03-23 15:52:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,589.72,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 590.3897, ""range_width_pct"": 0.0027}"
2026-03-24T15:57:00+00:00,2026-03-24 11:57:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,585.72,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 585.8433, ""range_width_pct"": 0.0059}"
2026-03-24T16:03:00+00:00,2026-03-24 12:03:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.73,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 655.095, ""range_width_pct"": 0.004}"
