timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile
2025-04-02T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.97,5605.0,1,Opened the primary butterfly corridor layer.,PRIMARY,5545.0,5605.0,5665.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-02T14:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5613.23,5605.0,1,Primary take-profit reached.,PRIMARY,5545.0,5605.0,5665.0,60.0,7,13.256,13.2,,0.056,1,100,0.6435,21.7859,21.8419,8.5299,8.6419,0.056,none
2025-04-02T14:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5629.9,5605.0,2,Opened the primary butterfly corridor layer.,PRIMARY,5545.0,5605.0,5665.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-02T14:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5631.62,5605.0,2,Primary take-profit reached.,PRIMARY,5545.0,5605.0,5665.0,60.0,7,13.256,13.2,,0.056,1,100,0.4978,19.8549,19.9109,6.5989,6.7109,0.056,none
2025-04-02T14:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5634.56,5610.0,3,Opened the primary butterfly corridor layer.,PRIMARY,5550.0,5610.0,5670.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-02T14:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5642.7,5610.0,3,Primary take-profit reached.,PRIMARY,5550.0,5610.0,5670.0,60.0,7,13.256,13.2,,0.056,1,100,0.4496,19.2165,19.2725,5.9605,6.0725,0.056,none
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,4,Opened the primary butterfly corridor layer.,PRIMARY,5370.0,5430.0,5490.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-15T15:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5421.24,5430.0,4,Primary take-profit reached.,PRIMARY,5370.0,5430.0,5490.0,60.0,7,13.256,13.2,,0.056,1,100,0.6393,21.7302,21.7862,8.4742,8.5862,0.056,none
2025-04-15T15:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5427.51,5425.0,5,Opened the primary butterfly corridor layer.,PRIMARY,5365.0,5425.0,5485.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-15T16:00:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5431.07,5425.0,5,Primary take-profit reached.,PRIMARY,5365.0,5425.0,5485.0,60.0,7,13.256,13.2,,0.056,1,100,0.6606,22.0127,22.0687,8.7567,8.8687,0.056,none
2025-04-15T16:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5425.7,5425.0,6,Opened the primary butterfly corridor layer.,PRIMARY,5365.0,5425.0,5485.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-15T16:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5426.4,5425.0,6,Primary take-profit reached.,PRIMARY,5365.0,5425.0,5485.0,60.0,7,13.256,13.2,,0.056,1,100,0.6976,22.503,22.559,9.247,9.359,0.056,none
2025-04-15T16:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.74,5425.0,7,Opened the primary butterfly corridor layer.,PRIMARY,5365.0,5425.0,5485.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-15T16:20:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5430.35,5425.0,7,Primary take-profit reached.,PRIMARY,5365.0,5425.0,5485.0,60.0,7,13.256,13.2,,0.056,1,100,0.6663,22.0883,22.1443,8.8323,8.9443,0.056,none
2025-04-15T16:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5428.09,5430.0,8,Opened the primary butterfly corridor layer.,PRIMARY,5370.0,5430.0,5490.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-15T16:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5425.86,5430.0,8,Primary take-profit reached.,PRIMARY,5370.0,5430.0,5490.0,60.0,7,13.256,13.2,,0.056,1,100,0.6759,22.2153,22.2713,8.9593,9.0713,0.056,none
2025-04-15T16:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.9,5425.0,9,Opened the primary butterfly corridor layer.,PRIMARY,5365.0,5425.0,5485.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-15T16:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5424.37,5425.0,9,Primary take-profit reached.,PRIMARY,5365.0,5425.0,5485.0,60.0,7,13.256,13.2,,0.056,1,100,0.7037,22.5839,22.6399,9.3279,9.4399,0.056,none
2025-04-25T14:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5471.12,5475.0,10,Opened the primary butterfly corridor layer.,PRIMARY,5415.0,5475.0,5535.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-25T14:25:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5463.9,5475.0,10,Primary take-profit reached.,PRIMARY,5415.0,5475.0,5535.0,60.0,7,13.256,13.2,,0.056,1,100,0.6207,21.4845,21.5405,8.2285,8.3405,0.056,none
2025-04-25T14:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5484.95,5475.0,11,Opened the primary butterfly corridor layer.,PRIMARY,5415.0,5475.0,5535.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-25T14:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5485.09,5475.0,11,Primary take-profit reached.,PRIMARY,5415.0,5475.0,5535.0,60.0,7,13.256,13.2,,0.056,1,100,0.6287,21.5906,21.6466,8.3346,8.4466,0.056,none
2025-04-25T15:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5485.3,5480.0,12,Opened the primary butterfly corridor layer.,PRIMARY,5420.0,5480.0,5540.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-25T15:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5490.03,5480.0,12,Primary take-profit reached.,PRIMARY,5420.0,5480.0,5540.0,60.0,7,13.256,13.2,,0.056,1,100,0.6292,21.5969,21.6529,8.3409,8.4529,0.056,none
2025-04-25T15:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5486.41,5480.0,13,Opened the primary butterfly corridor layer.,PRIMARY,5420.0,5480.0,5540.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-25T15:20:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5491.32,5480.0,13,Primary take-profit reached.,PRIMARY,5420.0,5480.0,5540.0,60.0,7,13.256,13.2,,0.056,1,100,0.619,21.4614,21.5174,8.2054,8.3174,0.056,none
2025-04-25T15:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5482.45,5480.0,14,Opened the primary butterfly corridor layer.,PRIMARY,5420.0,5480.0,5540.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-25T15:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5484.54,5480.0,14,Primary take-profit reached.,PRIMARY,5420.0,5480.0,5540.0,60.0,7,13.256,13.2,,0.056,1,100,0.6727,22.1733,22.2293,8.9173,9.0293,0.056,none
2025-04-25T15:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5487.81,5480.0,15,Opened the primary butterfly corridor layer.,PRIMARY,5420.0,5480.0,5540.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-25T15:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5488.38,5480.0,15,Primary take-profit reached.,PRIMARY,5420.0,5480.0,5540.0,60.0,7,13.256,13.2,,0.056,1,100,0.6423,21.7701,21.8261,8.5141,8.6261,0.056,none
2025-04-25T16:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5503.66,5485.0,16,Opened the primary butterfly corridor layer.,PRIMARY,5425.0,5485.0,5545.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-25T16:50:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5507.75,5485.0,16,Primary take-profit reached.,PRIMARY,5425.0,5485.0,5545.0,60.0,7,13.256,13.2,,0.056,1,100,0.5285,20.2613,20.3173,7.0053,7.1173,0.056,none
2025-04-25T17:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5509.5,5490.0,17,Opened the primary butterfly corridor layer.,PRIMARY,5430.0,5490.0,5550.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-04-25T17:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5514.52,5490.0,17,Primary take-profit reached.,PRIMARY,5430.0,5490.0,5550.0,60.0,7,13.256,13.2,,0.056,1,100,0.5144,20.0754,20.1314,6.8194,6.9314,0.056,none
2025-04-28T15:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5492.17,5520.0,18,Opened the primary butterfly corridor layer.,PRIMARY,5460.0,5520.0,5580.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
