timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,modeled_max_loss,contracts_per_layer,option_multiplier,drift_distance,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile,drift_count,primary_return_pct
2025-03-31T17:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5561.02,5555.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5475.0,5555.0,5635.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-03-31T18:00:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5566.62,5560.0,2.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5480.0,5560.0,5640.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-03-31T18:05:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5582.75,5555.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,27.75,,,,,,,,,,
2025-03-31T18:35:00+00:00,SPX,ABORTED,DRIFTING,5596.19,5555.0,1.0,Regime turned TREND_UP.,PRIMARY,5475.0,5555.0,5635.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,21.6368,25.881,0.0908,4.761,0.426,0.4,0.026,conservative,,
2025-03-31T18:35:00+00:00,SPX,ABORTED,DRIFTING,5596.19,5560.0,2.0,Regime turned TREND_UP.,SUPPLEMENTAL,5480.0,5560.0,5640.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,21.859,26.1425,0.313,5.0225,0.426,0.4,0.026,conservative,,
2025-04-01T19:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5614.64,5610.0,3.0,Opened the primary butterfly corridor layer.,PRIMARY,5530.0,5610.0,5690.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-04-01T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5618.42,5610.0,3.0,Session window closed.,PRIMARY,5530.0,5610.0,5690.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,23.1077,27.6115,1.5617,6.4915,0.426,0.4,0.026,conservative,,
2025-04-02T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.07,5605.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-04-02T14:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5625.8,5605.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,20.8,,,,,,,,,,
2025-04-02T14:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5611.97,5605.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02T14:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5623.31,5605.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,18.31,,,,,,,,,,
2025-04-02T14:50:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5634.56,5610.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,24.56,,,,,,,,,8.0,
2025-04-02T14:55:00+00:00,SPX,REBUILT,REBUILD,5642.7,5605.0,4.0,Removed prior layers for rebuild.,PRIMARY,5525.0,5605.0,5685.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,21.8169,26.0929,0.2709,4.9729,0.426,0.4,0.026,conservative,,
2025-04-02T14:55:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5642.7,5615.0,5.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5535.0,5615.0,5695.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-04-02T15:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5641.01,5615.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,26.01,,,,,,,,,,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5615.0,5.0,Regime turned TREND_UP.,PRIMARY,5535.0,5615.0,5695.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,21.5183,25.7416,-0.0277,4.6216,0.426,0.4,0.026,conservative,,
