timestamp,symbol,week_key,action,state,price,center_price,layer_id,detail,kind,body_strike,lower_strike,upper_strike,width,dte,entry_cost,entry_debit,entry_friction_cost,gross_deployment,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,adjustments_this_week
2025-05-06T15:00:00+00:00,SPX,2025-05-05,DEPLOY_INITIAL,ACTIVE,5628.93,0.0,1,Opened an initial weekly butterfly layer.,INITIAL,-50.0,-100.0,0.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-05-06T15:00:00+00:00,SPX,2025-05-05,DEPLOY_INITIAL,ACTIVE,5628.93,0.0,2,Opened an initial weekly butterfly layer.,INITIAL,0.0,-50.0,50.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-05-06T15:00:00+00:00,SPX,2025-05-05,DEPLOY_INITIAL,ACTIVE,5628.93,0.0,3,Opened an initial weekly butterfly layer.,INITIAL,50.0,0.0,100.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-05-06T15:30:00+00:00,SPX,2025-05-05,ABORT,ABORTED,5635.67,0.0,1,Aborted on trend-dominant week.,INITIAL,-50.0,-100.0,0.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-05-06T15:30:00+00:00,SPX,2025-05-05,ABORT,ABORTED,5635.67,0.0,2,Aborted on trend-dominant week.,INITIAL,0.0,-50.0,50.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-05-06T15:30:00+00:00,SPX,2025-05-05,ABORT,ABORTED,5635.67,0.0,3,Aborted on trend-dominant week.,INITIAL,50.0,0.0,100.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-05-19T18:30:00+00:00,SPX,2025-05-19,DEPLOY_INITIAL,ACTIVE,5953.68,0.0,4,Opened an initial weekly butterfly layer.,INITIAL,-50.0,-100.0,0.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-05-19T18:30:00+00:00,SPX,2025-05-19,DEPLOY_INITIAL,ACTIVE,5953.68,0.0,5,Opened an initial weekly butterfly layer.,INITIAL,0.0,-50.0,50.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-05-19T18:30:00+00:00,SPX,2025-05-19,DEPLOY_INITIAL,ACTIVE,5953.68,0.0,6,Opened an initial weekly butterfly layer.,INITIAL,50.0,0.0,100.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-05-19T19:00:00+00:00,SPX,2025-05-19,ADD_ADJUSTMENT,ADJUSTED,5955.1,0.0,7,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,5955.0,5905.0,6005.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,1.0
2025-05-19T20:00:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5964.16,0.0,4,Aborted on trend-dominant week.,INITIAL,-50.0,-100.0,0.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-05-19T20:00:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5964.16,0.0,5,Aborted on trend-dominant week.,INITIAL,0.0,-50.0,50.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-05-19T20:00:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5964.16,0.0,6,Aborted on trend-dominant week.,INITIAL,50.0,0.0,100.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-05-19T20:00:00+00:00,SPX,2025-05-19,ABORT,ABORTED,5964.16,0.0,7,Aborted on trend-dominant week.,ADJUSTMENT,5955.0,5905.0,6005.0,50.0,,,,,,16.7272,16.7832,5.6712,5.7832,0.056,
2025-05-27T15:00:00+00:00,SPX,2025-05-26,DEPLOY_INITIAL,ACTIVE,5894.14,0.0,8,Opened an initial weekly butterfly layer.,INITIAL,-50.0,-100.0,0.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-05-27T15:00:00+00:00,SPX,2025-05-26,DEPLOY_INITIAL,ACTIVE,5894.14,0.0,9,Opened an initial weekly butterfly layer.,INITIAL,0.0,-50.0,50.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-05-27T15:00:00+00:00,SPX,2025-05-26,DEPLOY_INITIAL,ACTIVE,5894.14,0.0,10,Opened an initial weekly butterfly layer.,INITIAL,50.0,0.0,100.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-05-27T15:30:00+00:00,SPX,2025-05-26,ADD_ADJUSTMENT,ADJUSTED,5899.09,0.0,11,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,5900.0,5850.0,5950.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,1.0
2025-05-29T17:30:00+00:00,SPX,2025-05-26,ABORT,ABORTED,5905.35,0.0,8,Aborted on trend-dominant week.,INITIAL,-50.0,-100.0,0.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-05-29T17:30:00+00:00,SPX,2025-05-26,ABORT,ABORTED,5905.35,0.0,9,Aborted on trend-dominant week.,INITIAL,0.0,-50.0,50.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-05-29T17:30:00+00:00,SPX,2025-05-26,ABORT,ABORTED,5905.35,0.0,10,Aborted on trend-dominant week.,INITIAL,50.0,0.0,100.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-05-29T17:30:00+00:00,SPX,2025-05-26,ABORT,ABORTED,5905.35,0.0,11,Aborted on trend-dominant week.,ADJUSTMENT,5900.0,5850.0,5950.0,50.0,,,,,,21.0226,21.0786,9.9666,10.0786,0.056,
2025-06-02T14:00:00+00:00,SPX,2025-06-02,DEPLOY_INITIAL,ACTIVE,5869.3,0.0,12,Opened an initial weekly butterfly layer.,INITIAL,-50.0,-100.0,0.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-06-02T14:00:00+00:00,SPX,2025-06-02,DEPLOY_INITIAL,ACTIVE,5869.3,0.0,13,Opened an initial weekly butterfly layer.,INITIAL,0.0,-50.0,50.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-06-02T14:00:00+00:00,SPX,2025-06-02,DEPLOY_INITIAL,ACTIVE,5869.3,0.0,14,Opened an initial weekly butterfly layer.,INITIAL,50.0,0.0,100.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-06-02T14:30:00+00:00,SPX,2025-06-02,ABORT,ABORTED,5903.14,0.0,12,Aborted on trend-dominant week.,INITIAL,-50.0,-100.0,0.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-06-02T14:30:00+00:00,SPX,2025-06-02,ABORT,ABORTED,5903.14,0.0,13,Aborted on trend-dominant week.,INITIAL,0.0,-50.0,50.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-06-02T14:30:00+00:00,SPX,2025-06-02,ABORT,ABORTED,5903.14,0.0,14,Aborted on trend-dominant week.,INITIAL,50.0,0.0,100.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-06-09T19:00:00+00:00,SPX,2025-06-09,DEPLOY_INITIAL,ACTIVE,6019.27,0.0,15,Opened an initial weekly butterfly layer.,INITIAL,-50.0,-100.0,0.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-06-09T19:00:00+00:00,SPX,2025-06-09,DEPLOY_INITIAL,ACTIVE,6019.27,0.0,16,Opened an initial weekly butterfly layer.,INITIAL,0.0,-50.0,50.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-06-09T19:00:00+00:00,SPX,2025-06-09,DEPLOY_INITIAL,ACTIVE,6019.27,0.0,17,Opened an initial weekly butterfly layer.,INITIAL,50.0,0.0,100.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-06-09T19:30:00+00:00,SPX,2025-06-09,ADD_ADJUSTMENT,ADJUSTED,6013.03,0.0,18,Added one supplemental weekly butterfly after price moved outside tolerance.,ADJUSTMENT,6015.0,5965.0,6065.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,1.0
2025-06-11T14:30:00+00:00,SPX,2025-06-09,ABORT,ABORTED,6056.74,0.0,15,Aborted on trend-dominant week.,INITIAL,-50.0,-100.0,0.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-06-11T14:30:00+00:00,SPX,2025-06-09,ABORT,ABORTED,6056.74,0.0,16,Aborted on trend-dominant week.,INITIAL,0.0,-50.0,50.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-06-11T14:30:00+00:00,SPX,2025-06-09,ABORT,ABORTED,6056.74,0.0,17,Aborted on trend-dominant week.,INITIAL,50.0,0.0,100.0,50.0,,,,,,0.0,0.0,-11.056,-11.0,0.056,
2025-06-11T14:30:00+00:00,SPX,2025-06-09,ABORT,ABORTED,6056.74,0.0,18,Aborted on trend-dominant week.,ADJUSTMENT,6015.0,5965.0,6065.0,50.0,,,,,,16.3861,16.4421,5.3301,5.4421,0.056,
2025-06-16T14:00:00+00:00,SPX,2025-06-16,DEPLOY_INITIAL,ACTIVE,6040.39,0.0,19,Opened an initial weekly butterfly layer.,INITIAL,-50.0,-100.0,0.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-06-16T14:00:00+00:00,SPX,2025-06-16,DEPLOY_INITIAL,ACTIVE,6040.39,0.0,20,Opened an initial weekly butterfly layer.,INITIAL,0.0,-50.0,50.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
2025-06-16T14:00:00+00:00,SPX,2025-06-16,DEPLOY_INITIAL,ACTIVE,6040.39,0.0,21,Opened an initial weekly butterfly layer.,INITIAL,50.0,0.0,100.0,50.0,12.0,11.056,11.0,0.056,11.056,,,,,,
