timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost
2025-03-31T17:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5561.02,5555.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5515.0,5555.0,5595.0,40.0,7.0,8.856,8.8,0.056,0.056,1.0,100.0,,,,,,,
2025-03-31T17:55:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5553.01,5555.0,2.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5515.0,5555.0,5595.0,40.0,7.0,8.856,8.8,0.056,0.056,1.0,100.0,,,,,,,
2025-03-31T18:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5566.62,5555.0,,Corridor drift started.,,,,,,,,,,,,,11.62,,,,,,
2025-03-31T18:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5590.5,5560.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,30.5,6.0,,,,,
2025-03-31T18:30:00+00:00,SPX,REBUILT,REBUILD,5593.76,5555.0,1.0,Removed prior layers for rebuild.,PRIMARY,5515.0,5555.0,5595.0,40.0,7.0,8.856,8.8,,0.056,1.0,100.0,,,11.0517,11.1077,2.1957,2.3077,0.056
2025-03-31T18:30:00+00:00,SPX,REBUILT,REBUILD,5593.76,5555.0,2.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5515.0,5555.0,5595.0,40.0,7.0,8.856,8.8,,0.056,1.0,100.0,,,11.0484,11.1044,2.1924,2.3044,0.056
2025-03-31T18:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5593.76,5565.0,3.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5525.0,5565.0,5605.0,40.0,7.0,8.856,8.8,0.056,0.056,1.0,100.0,,,,,,,
2025-03-31T18:35:00+00:00,SPX,ABORTED,ACTIVE_CENTERED,5596.19,5565.0,3.0,Regime turned TREND_UP.,PRIMARY,5525.0,5565.0,5605.0,40.0,7.0,8.856,8.8,,0.056,1.0,100.0,,,11.8228,11.8788,2.9668,3.0788,0.056
2025-04-01T19:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5614.64,5610.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5570.0,5610.0,5650.0,40.0,7.0,8.856,8.8,0.056,0.056,1.0,100.0,,,,,,,
2025-04-01T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5618.42,5610.0,4.0,Session window closed.,PRIMARY,5570.0,5610.0,5650.0,40.0,7.0,8.856,8.8,,0.056,1.0,100.0,,,14.2119,14.2679,5.3559,5.4679,0.056
2025-04-02T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.07,5605.0,5.0,Opened the primary butterfly corridor layer.,PRIMARY,5565.0,5605.0,5645.0,40.0,7.0,8.856,8.8,0.056,0.056,1.0,100.0,,,,,,,
2025-04-02T14:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5625.8,5605.0,,Corridor drift started.,,,,,,,,,,,,,20.8,,,,,,
2025-04-02T14:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5629.9,5605.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,24.9,6.0,,,,,
2025-04-02T14:30:00+00:00,SPX,REBUILT,REBUILD,5631.62,5605.0,5.0,Removed prior layers for rebuild.,PRIMARY,5565.0,5605.0,5645.0,40.0,7.0,8.856,8.8,,0.056,1.0,100.0,,,12.3335,12.3895,3.4775,3.5895,0.056
2025-04-02T14:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5631.62,5610.0,6.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5570.0,5610.0,5650.0,40.0,7.0,8.856,8.8,0.056,0.056,1.0,100.0,,,,,,,
2025-04-02T14:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5631.64,5610.0,,Corridor drift started.,,,,,,,,,,,,,21.64,,,,,,
2025-04-02T15:15:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5639.65,5620.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,19.65,9.0,,,,,
2025-04-02T15:20:00+00:00,SPX,REBUILT,REBUILD,5649.71,5610.0,6.0,Removed prior layers for rebuild.,PRIMARY,5570.0,5610.0,5650.0,40.0,7.0,8.856,8.8,,0.056,1.0,100.0,,,10.9573,11.0133,2.1013,2.2133,0.056
2025-04-02T15:20:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5649.71,5620.0,7.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5580.0,5620.0,5660.0,40.0,7.0,8.856,8.8,0.056,0.056,1.0,100.0,,,,,,,
2025-04-02T15:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5655.2,5620.0,,Corridor drift started.,,,,,,,,,,,,,35.2,,,,,,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5620.0,7.0,Regime turned TREND_UP.,PRIMARY,5580.0,5620.0,5660.0,40.0,7.0,8.856,8.8,,0.056,1.0,100.0,,,11.0592,11.1152,2.2032,2.3152,0.056
2025-04-02T18:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5654.92,5660.0,8.0,Opened the primary butterfly corridor layer.,PRIMARY,5620.0,5660.0,5700.0,40.0,7.0,8.856,8.8,0.056,0.056,1.0,100.0,,,,,,,
2025-04-02T18:45:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5654.22,5665.0,,Corridor drift started.,,,,,,,,,,,,,10.78,,,,,,
2025-04-02T19:10:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5643.11,5660.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,16.89,6.0,,,,,
2025-04-02T19:15:00+00:00,SPX,REBUILT,REBUILD,5641.59,5660.0,8.0,Removed prior layers for rebuild.,PRIMARY,5620.0,5660.0,5700.0,40.0,7.0,8.856,8.8,,0.056,1.0,100.0,,,13.2026,13.2586,4.3466,4.4586,0.056
2025-04-02T19:15:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5641.59,5660.0,9.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5620.0,5660.0,5700.0,40.0,7.0,8.856,8.8,0.056,0.056,1.0,100.0,,,,,,,
